,_id,azienda,link,luogo,titolo
299,a_334e5ff286e41df35457be4b6e29e43c,CVweb Vision,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Cesop Recruiting: Senior Business Analyst
300,a_9133debe27742b2585ef216fbeeb01ad,CVweb Vision,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Roma
",Cesop Recruiting: Senior Business Analyst
301,a_4d475fdcabd56daf9471230bd0c56a84,Page Personnel,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",NPL & ABS Reporting Analyst
302,a_a035f521c4e632acfc1c2153602b5f03,Page Personnel,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Digital Marketing Analyst
303,a_83a44ab29c0ac954fca779410163a4c6,Lavoropiù,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Bologna
",BUSINESS ANALYST / CONTROLLER (270.FD.414)
304,a_613c551c51b7165c6b90b97686bb8ee8,Gruppo SCAI,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Italia
",Test Analyst
305,a_249d89c186f035543addda59dd6d0a9e,,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Junior Analyst - Analista Funzionale BPM
306,a_4f6c635d6e69b7bfbca179f9d11c6fbc,Future Manager Recruitmnent SRL,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Lainate, Milano
",BUSINESS ANALYST
307,a_46fe86cc3cd1ce2a5fd89d2e1091a417,Future Manager Recruitmnent SRL,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Varese
",CREDIT ANALYST
308,a_c0135cdc591ce4d569f8ed4433e8d13b,AQR,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Lambrate, Milano
",STAGE Planning / Data Analyst Junior
309,a_d77fb9940f46b9027031528dadfdbf10,Fincons Group,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Bari
",Senior Analyst
310,a_12c1358116dbbf7e6e1238f5f9fd31ff,CEVA Logistics,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Pavia
",OPERATIONAL ANALYST (STAGE)
311,a_3b7ecbf91b0a9ccab3a4fd435adbd452,Bticino,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Varese
",HR SPECIALIST - ORGANIZATION AND COMPENSATION ANALYST
